orig_interest,orig_interest_descript,o_wc,o_fk,new_interest,New_interest_descript,n_wc,n_fk
Realistic,"Realistic occupations frequently involve work activities that include practical, hands-on problems and solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of the occupations require working outside, and do not involve a lot of paperwork or working closely with others.",47,12.6,Hands-On,"Solve real-world problems. Do hands-on tasks. Work with everyday things like plants, animals, tools, and machines. ",16,4.9
,,,,,,,
Investigative,"Investigative occupations frequently involve working with ideas, and require an extensive amount of thinking. These occupations can involve searching for facts and figuring out problems mentally.",26,13.5,Investigative,Use your mind and thoughts to solve problems. Figure things out. Work with ideas. Search for facts. ,17,0
,,,,,,,
Artistic,"Artistic occupations frequently involve working with forms, designs and patterns. They often require self-expression and the work can be done without following a clear set of rules.",27,9.7,Creative,"Make artworks that show your feelings and thoughts. Work with pictures, patterns, and shapes. Sometimes work with few clear rules.  ",19,2.3
Social,"Social occupations frequently involve working with, communicating with, and teaching people. These occupations often involve helping or providing service to others.",21,13.7,Social,Work with other people. Teach and talk to other people. Help and serve others. ,14,2.2
Enterprising,Enterprising occupations frequently involve starting up and carrying out projects. These occupations can involve leading people and making many decisions. Sometimes they require risk taking and often deal with business.,30,11.5,Self-Starting,Start and run projects. Lead people. Make many decisions. Take risks. Work in the business world.,16,2.6
,,,,,,,
,,,,,,,
Conventional,Conventional occupations frequently involve following set procedures and routines. These occupations can include working with data and details more than with ideas. Usually there is a clear line of authority to follow.,32,10.6,Structured,Follow set rules and steps. Follow a leader. Work with data and details. Do paperwork.,15,3.1
